rsid,Magnitude,Repute,Summary
Rs34116584(C;C),0,Good,common in clinvar
Rs34967813(A;A),0,Good,common in clinvar
Rs35441642(G;G),0,Good,common in clinvar
Rs4265781(T;T),0,Good,common in clinvar
Rs4935502(T;T),0,Good,common in complete genomics
Rs4978584(C;C),0,Good,common in clinvar
Rs5911(A;A),0,Good,common in clinvar
Rs5911(C;C),1.5,Bad,BAK platelet-specific alloantigen
Rs6180(A;A),0,Good,common in clinvar
Rs6180(C;C),0,,
Rs641615(C;C),0,Good,common in clinvar
Rs6746030(A;A),1,Bad,Increased perception of pain
Rs6746030(G;G),0,Good,Normal perception of pain
Rs743616(G;G),0,Good,common in clinvar
Rs7481951(A;A),0,Good,common in clinvar
Rs7764472(G;G),0,Good,common in clinvar
Rs799917(C;C),0,Good,common in clinvar
Rs8023524(G;G),0,Good,common in clinvar
Rs928302(C;C),0,Good,common in complete genomics
Rs930557(G;G),0,Good,common in clinvar
Rs942519(A;A),0,Good,common in clinvar
Rs2834167(A;A),2.1,Bad,2.67x increased risk for systemic sclerosis
Rs2834167(G;G),0,,normal
Rs1470579(A;A),0,,normal
Rs13293564(G;T),0,,normal
Rs279858(G;G),2.1,Bad,apparently more prone to alcoholism
Rs216321(C;C),0,Good,common on affy axiom data
Rs17316910(G;G),0,,
Rs3760511(G;G),1.2,,
Rs7892900(C;C),0,Good,common on affy axiom data
Rs2839110(A;A),0,,
Rs6083(G;G),0,,
Rs622082(A;A),0,Good,common in clinvar
Rs600753(T;T),0,Good,common in clinvar
Rs6436669(A;G),0,,
Rs10178458(C;T),0,,
Rs643788(T;T),0,Good,common in clinvar
Rs13181(T;T),1,Good,Normal risk for cutaneous melanoma
Rs2240308(A;A),0,,
Rs228406(C;C),0,,
Rs7624750(G;G),0,Good,common in clinvar
Rs3734110(C;T),0,,
Rs11558492(A;G),0,,
Rs1230345(G;T),0,,
Rs2820312(A;G),0,,
Rs363050(A;G),1.1,,
Rs2274159(A;G),0,Good,
Rs11650915(A;G),0,,
Rs103612(C;T),0,,
Rs11756977(C;C),0,,
Rs133885(A;G),0,,
Rs11895564(A;G),0,,
Rs1003483(G;T),0,,
Rs1043424(A;A),0,Good,common in clinvar
Rs1805081(C;T),0,,
Rs1042713(A;G),1.3,Bad,1.3x increased risk that pediatric inhaler use may make asthma worse
Rs2306541(G;G),0,,
Rs529038(C;T),0,,
Rs1053312(A;G),0,,
Rs2303436(C;T),0,,
Rs627441(C;T),0,,
Rs1592377(A;C),0,,
Rs1796993(G;G),0,,
Rs12828016(G;G),0,Good,common in clinvar
Rs7426114(C;T),0,,
Rs6713162(A;G),0,,
Rs938952(T;T),0,,
Rs4689278(T;T),0,Good,common in complete genomics
Rs2043556(T;T),0,,
Rs1801376(A;A),0,,
Rs10503929(T;T),0,,
Rs805708(A;A),0,,
Rs446227(G;G),0,Good,common in clinvar
Rs444772(G;G),0,Good,common in clinvar
Rs9640663(A;G),0,,
Rs6687605(C;T),0,,
Rs532964(A;G),0,,
Rs730469(T;T),0,Good,common in clinvar
Rs1129187(G;T),0,,
Rs942519(A;G),0,Good,
Rs8373(A;A),0,,
Rs17846179(C;T),0,,
Rs2866413(A;G),0,,
Rs10896380(A;A),0,Good,common in clinvar
Rs227368(C;T),0,,
Rs3820129(C;T),0,,
Rs7278737(G;T),0,,
Rs2069556(A;G),0,,
Rs4715630(T;T),0,,
Rs414352(T;T),0,Good,common in clinvar
Rs238238(G;G),0,,
Rs11758339(C;C),0,,
Rs162036(A;A),0,Good,common in complete genomics
Rs2824721(A;A),0,,
Rs3130340(T;T),0,,
Rs1426310(A;G),0,,
Rs2288904(G;G),0,,
Rs1801159(T;T),0,,
Rs6544718(C;C),0,,
Rs1042031(C;C),0,,
Rs10407022(T;T),0,,
Rs2302075(A;A),0,,
Rs4280262(T;T),0,,
Rs9536314(T;T),0,Good,Most common genotype for this SNP
Rs6471482(C;C),0,Good,common on affy axiom data
Rs805722(C;C),0,,
Rs1042034(T;T),0,,
Rs217086(G;G),0,Good,common on affy axiom data
Rs2272495(G;G),0,,
Rs2309428(A;A),0,Good,common in complete genomics
Rs6580873(C;C),0,Good,common on affy axiom data
Rs2243250(C;C),0,,normal
Rs3812153(T;T),0,,
Rs10883841(T;T),0,Good,common on affy axiom data
Rs1503185(G;G),0,,
Rs4242182(C;C),0,,
Rs3788964(T;T),0,,
Rs1041951(C;C),0,Good,common on affy axiom data
Rs1130495(G;G),0,,
Rs4972946(A;A),0,Good,common on affy axiom data
Rs2412541(T;T),0,,
Rs5522(T;T),0,,
Rs6461593(T;T),0,Good,
Rs956868(C;C),0,,
Rs1154510(C;C),0,,
Rs12926089(C;C),0,Good,common in complete genomics
Rs2228561(G;G),0,,
Rs3130062(T;T),0,Good,common on affy axiom data
Rs3219156(T;T),0,,
Rs34677(C;C),0,,
Rs6414624(C;C),0,,
Rs3735972(T;T),0,,
Rs4954449(C;C),0,Good,common in complete genomics
Rs4956145(C;C),0,,
Rs1062087(T;T),0,,
Rs11170164(C;C),0,,
Rs2070739(C;C),0,,
Rs2243380(C;C),0,,
Rs2296949(G;G),0,,
Rs339445(C;C),0,Good,common in complete genomics
Rs6003(T;T),0,,
Rs1042636(A;A),0,Good,common in complete genomics
Rs8176785(A;A),0,,
Rs1769259(T;T),0,,
Rs4576240(G;G),0,Good,common on affy axiom data
Rs11014002(C;C),0,Good,common in complete genomics
Rs4855271(T;T),0,Good,common on affy axiom data
Rs557337(A;A),0,Good,common in clinvar
Rs1013579(T;T),0,,
Rs1800067(G;G),0,Good,common in complete genomics
Rs1800280(T;T),0,,
Rs2306033(G;G),0,Good,common on affy axiom data
Rs578430(G;G),0,Good,common in complete genomics
Rs1800215(C;C),0,,
Rs3213119(C;C),0,,
Rs2442513(T;T),0,,
Rs10103355(G;G),0,Good,common in complete genomics
Rs2515569(G;G),0,Good,common in complete genomics
Rs2643103(G;G),0,Good,common in complete genomics
Rs1800974(C;T),0,,
Rs4819756(A;G),0,,
Rs7756992(A;A),0,Good,normal
Rs2279744(T;T),0,Good,normal
Rs5746059(G;G),0,Good,normal
Rs660895(G;G),2.5,Bad,6x higher risk of rheumatoid arthritis
Rs1953126(C;C),0,,normal
Rs1050565(A;G),0,,normal
Rs1128503(C;C),0,,normal
Rs1792113(A;G),0,,normal
Rs911541(A;A),0,Good,normal
Rs2074190(T;T),0,,common
Rs2745557(G;G),0,Good,normal
Rs1801133(C;C),0,Good,Common genotype: normal homocysteine levels
Rs3731239(T;T),0,,normal risk
Rs1799969(G;G),0,Good,normal
Rs733618(A;A),0,,normal
Rs664143(C;C),0,,normal
Rs419788(G;G),0,Good,average
Rs1734787(A;A),0,,normal
Rs2187668(G;G),0,Good,average
Rs4363657(C;C),4,Bad,17x increased myopathy risk for statin users
Rs4363657(C;T),2.1,Bad,4.5x increased myopathy risk for statin users
Rs4363657(T;T),0,Good,normal
Rs9923231(T;T),2.1,,reduced warfarin dose if treated for VTE
Rs1256049(G;G),0,Good,common in complete genomics
Rs173686(T;T),0,,
Rs1446109(A;A),0,,
Rs663048(T;T),2.5,Bad,3x increased risk of developing lung cancer
Rs6477872(T;T),0,Good,common/normal
Rs2297480(A;A),0,Good,normal
Rs1571801(C;C),0,,average
Rs2279744(G;G),2.1,Bad,Generally more cancer prone
Rs2071152(A;A),0,,
Rs12913832(A;A),0,,"brown eye color, 80% of the time"
Rs9923231(C;C),0,Good,normal
Rs8050894(C;C),2.1,,warfarin sensitivity (~2.5 mg/day)
Rs1076560(C;C),0,Good,normal
Rs34637584(G;G),0,Good,normal
Rs34637584(A;A),3,Bad,"possible miscall in Ancestry V2.0 datasets; otherwise, 15 to 30% chance of Parkinson's disease, depending on age, family history, and ethnicity"
Rs34778348(G;G),0,Good,normal
Rs34637584(A;G),3,Bad,"possible miscall in Ancestry V2.0 datasets; otherwise, 15 to 30% chance of Parkinson's disease, depending on age, family history, and ethnicity"
Rs721048(A;A),1.9,Bad,slightly increased prostate cancer risk
Rs721048(G;G),0,Good,normal
Rs2290602(G;T),2,,2.7x increased risk for nonalcoholic fatty liver disease
Rs9272346(A;G),3,Bad,5.49x risk of type-1 diabetes
Rs7923837(G;G),2,Bad,3.2x risk for T2D
Rs3758391(C;C),2,Bad,Normal (worse) aging.
Rs1801155(T;T),0,Good,common in complete genomics
Rs1801155(A;A),6,Bad,risk of colon cancer and familial adenomatous polyposis (FAP) which usually progresses to malignancy
Rs12487066(C;C),0,,>1.09x increased risk for multiple sclerosis
Rs2180439(T;T),3,Bad,2x increased risk of Male Pattern Baldness.
Rs1160312(A;A),2,Bad,2.56x increased risk of Male Pattern Baldness.
Rs5770917(T;T),0,Good,normal
Rs3798220(T;T),0,Good,normal
Rs35264875(A;A),0,Good,common in clinvar
Rs35264875(T;T),3,,blonde hair color
Rs4795400(T;T),0,Bad,"if 4 years old or younger, ~2.5x increased asthma risk if exposed to smoke"
Rs10892759(A;G),0,,normal
Rs2180439(C;C),2,Good,Reduced risk of Male Pattern Baldness.
Rs1160312(G;G),2,Good,Reduced risk of Baldness.
Rs9642880(G;G),2,Good,Slightly lower risk of Bladder Cancer.
Rs8192287(G;G),0,,normal
Rs1937506(A;A),0,,1.6x risk
Rs11164838(T;T),0,,common
Rs6498169(A;A),2,Bad,>1.14x risk of multiple sclerosis
Rs7536563(G;G),0,Good,common
Rs3129934(C;C),2.1,Good,Normal lower risk of Multiple Sclerosis.
Rs9930506(A;A),0,,normal
Rs7639618(C;C),0,Good,normal
Rs1799836(C;C),0,,
Rs887466(A;A),0,,
Rs11171739(T;T),1,Good,Normal risk of developing Type-1 diabetes
Rs7659604(C;C),0,Bad,1.1x risk of type II diabetes
Rs768983(G;G),0,,
Rs1889018(T;T),0,,1.12x increased risk for T2D
Rs780094(G;G),0,,average
Rs1111875(A;A),0,,1x normal risk of T2D
Rs3802177(T;T),0,,normal
Rs1130866(C;T),0,,normal
Rs966221(T;T),0,Good,normal
Rs2251746(T;T),0,,normal but highest IgE levels
Rs1049353(A;A),1,Good,Likely better response to antidepressants if female
Rs2420946(C;C),0,,common
Rs2981582(C;C),0,Good,normal
Rs5275(T;T),0,Bad,normal
Rs2200733(C;C),1.9,Good,0.86x decreased risk of Atrial Fibrillation
Rs2427837(G;G),0,,normal but highest IgE levels
Rs8069176(A;A),0,,normal
Rs2305480(T;T),2,Bad,"if 4 years old or younger, ~3x increased asthma risk if exposed to smoke"
Rs3775291(G;G),2,Bad,common but higher risk of age related macular degeneration
Rs4146894(G;G),0,,average
Rs2511989(G;G),0,,normal
Rs1329428(A;A),0,Good,normal
Rs1667394(A;A),1.5,,blond hair & blue eyes is 4x more likely
Rs3890745(G;G),0,Good,0.79x Reduced risk of RA
Rs3758549(C;C),1.1,Bad,increased risk of parkinson's disease
Rs3758549(C;T),0,,normal risk of parkinson's disease
Rs3758549(T;T),0,,normal risk of parkinson's disease
Rs6679677(A;A),3,Bad,5.2x risk for T1D; 3.3x for RA
Rs6679677(A;C),2.3,Bad,1.8x risk for T1D; 2x risk for RA
I3003626(I;I),0,Bad,
Rs768983(A;A),0,,
I3003626(D;D),5,Good,resistant to HIV
Rs807701(C;C),2.1,Bad,2-5x increased dyslexia risk
Rs5400(T;T),1.8,,significantly higher sugar consumption
Rs5400(C;C),0.1,,normal sugar consumption
Rs5400(C;T),1.7,,significantly higher sugar consumption?
Rs324650(A;A),0,,
Rs10759932(C;C),2,Bad,increased risk for chorionic plate inflammation
Rs3796529(A;A),0,,
Rs3796529(A;G),0,,
Rs3796529(G;G),0,Good,common/normal
Rs41293463(T;T),0,Good,normal
I3003626(D;I),2,Good,
Rs41293455(C;C),0,Good,normal
Rs28897672(G;G),6,Bad,considered a pathogenic BRCA1 breast cancer variant
Rs4987117(T;T),2,,
Rs766173(G;G),2,,
Rs41293455(T;T),2,,predisposition to breast cancer?
Rs1799966(G;G),2,Bad,very slightly increased risk for breast cancer
Rs573225(C;C),0,,normal
Rs6983267(G;G),3.2,Bad,1.6x increased risk for prostate cancer; also other cancers
Rs1800629(A;A),2.5,Bad,complex; generally higher risk for certain diseases
Rs12708716(G;G),0,,normal
Rs763361(C;C),1,Good,Normal risk for multiple autoimmune diseases
Rs3003609(C;C),0,Good,normal
Rs2834167(A;G),0,,normal
Rs521102(C;T),0,,normal
Rs3892097(A;A),3,Bad,CYP2D6 poor metabolizer; many associations related to drug metabolism
Rs2653349(A;A),0,,normal
Rs2383206(G;G),3,Bad,1.7x increased risk for heart disease
Rs17236239(G;G),2,,higher risk for speech development delay and/or impairment
Rs7213516(G;G),0,Good,normal
Rs1143699(C;C),2,Bad,"In men, 2.19x risk of type 2 diabetes"
Rs1899951(G;G),0,,
Rs7024934(A;A),0,Good,
Rs28940304(G;G),2,,
Rs28940303(C;C),2,,
Rs28940302(T;T),2,,
Rs9923231(C;T),2,,reduced warfarin dose if treated for VTE
Rs8050894(G;G),2.1,,warfarin resistance (~6.5 mg/day)
Rs1015362(A;A),1.9,Good,Probably tans instead of freckles and sunburns.
Rs1805007(T;T),3.2,Bad,increased response to anesthetics; 13-20x higher likelihood of red hair; increased risk of melanoma
Rs2948694(A;A),0,,normal
Rs2948694(G;G),2,,increased risk for heavy alcohol consumption
Rs1799971(G;G),2.6,Bad,more pain
Rs763317(G;G),0,,normal
Rs2268578(C;C),0,,normal
Rs5751876(T;T),2.1,Bad,significantly higher anxiety levels after moderate caffeine consumption
Rs2232165(C;C),0,Good,normal
Rs334558(A;A),0,,later onset of BP
Rs2287939(C;C),0,,
Rs334(T;T),5,Bad,sickle cell anemia
Rs334(A;T),4,Bad,"carrier of, but unaffected by, sickle cell anemia; greater malaria resistance"
Rs334(A;A),0,Good,normal allele
Rs33930165(G;G),0,Good,common in clinvar
Rs33950507(G;G),0,Good,normal
Rs1801274(T;T),1.5,Bad,complex; generally greater risk for cancer progression
Rs1801274(C;C),1,Good,normal risk for cancer progression
Rs1024611(C;T),2,Bad,increased risk of exercise induced ischemia
Rs1024611(C;C),2.2,Bad,"increased risk of exercise induced ischemia, Increased CCL2 levels; increased rate of HIV progression"
Rs1024611(T;T),0,Good,normal risk
Rs1800871(T;T),0,,normal
Rs7538876(G;G),2,Good,0.78x decreased Basal Cell Carcinoma risk.
Rs266729(C;C),0,,normal
Rs17703883(T;T),0,,
Rs28371685(C;C),0,Good,normal
Rs28371706(C;C),0,Good,normal
Rs28371686(C;C),0,Good,normal
Rs16981293(C;C),0,Good,common on affy axiom data
Rs17222279(G;G),0,Good,common on affy axiom data
Rs20321(G;G),0,Good,common on affy axiom data
Rs1801279(G;G),0,Good,common in complete genomics
Rs11178997(T;T),0,,
Rs8179176(C;C),0,Good,common in complete genomics
Rs612709(G;G),0,,
Rs574174(C;C),0,,
Rs34126399(A;A),0,,
Rs28934587(T;T),0,Good,common in complete genomics
Rs28357980(A;A),0,Good,normal
Rs2269648(C;C),0,,
Rs2032602(T;T),0,,
Rs17222814(G;G),0,,
Rs2227945(T;T),0,,
Rs20415(C;C),0,,
Rs16964476(A;A),0,Good,common in complete genomics
Rs16964465(A;A),0,Good,common in complete genomics
Rs284875(G;G),0,,
Rs641153(C;C),0,Good,common in clinvar
Rs4151667(T;T),0,Good,common in clinvar
Rs4151667(A;A),3.1,Bad,age related macular degeneration
Rs9332739(G;G),0,Good,normal
Rs9332739(C;C),2.1,Good,0.47x decreased risk for AMD
Rs4244285(G;G),0,Good,normal
Rs4244285(A;A),4,Bad,"poor metabolizer of several popular medicines; patients prescribed Plavix get less benefit, and have higher risk for adverse cardiovascular events"
Rs1801272(T;T),0,Good,common in clinvar
Rs1801272(A;A),2,,Reduced CYP2A6 metabolism; impaired nicotine metabolism?
Rs9939609(T;T),1.5,Good,lower risk of obesity and Type-2 diabetes
Rs7566605(C;C),0.2,,"mixed evidence of increased obesity risk, may suppress excercise effects in men"
Rs4244285(A;G),3,Bad,"poorer metabolizer of several popular medicines; patients prescribed Plavix get less benefit, and have higher risk for adverse cardiovascular events"
Rs1047781(A;A),0,Good,"ABH blood group ""Secretor"" status if Japanese"
Rs11200638(A;A),3.5,Bad,~10x increased risk of wet age related macular degeneration
Rs1136287(C;C),0,Good,normal
Rs2511989(A;A),2.2,Good,0.44x decreased age-related macular degeneration risk
Rs2511989(A;G),2.1,Good,0.63x decreased age-related macular degeneration risk
Rs3775291(A;A),2.2,Good,0.44x decreased risk for dry age related macular degeneration
Rs3775291(A;G),2.1,Good,0.71x decreased risk for dry age related macular degeneration
Rs3025039(T;T),2,Bad,2.6x increased risk for ARMD in a Taiwanese population
Rs3025039(C;T),2,Bad,2.6x increased risk for ARMD in a Taiwanese population
Rs572515(T;T),2,,
Rs572515(C;C),0,,
Rs3793784(C;C),0,,normal
Rs380390(C;C),2.1,Bad,increased risk for ARMD
Rs3793784(G;G),2,Bad,1.6x risk for ARMD
Rs11200638(G;G),0,Good,normal
Rs1800955(T;T),0,,normal
Rs2143340(C;C),2.3,Bad,> 2x risk of dyslexia and poor reading performance
Rs2143340(C;T),2,Bad,increased risk of dyslexia and poor reading performance
Rs4570625(G;G),1.5,Bad,maybe: higher scores on anxiety-related personality traits; greater placebo response
Rs2736098(G;G),0,Good,normal
Rs1265159(T;T),2.5,,22.6x increased psoriasis risk for Chinese
Rs1265181(G;G),2.5,Bad,possibly increased risk of psoriasis
Rs1800562(A;G),3,Bad,"One copy of C282Y, carrier of hemochromatosis, likely unaffected unless also H63D carrier."
Rs1333049(G;G),0,Good,normal
Rs7754840(G;G),0,Good,normal
Rs7754840(C;G),3,Bad,1.3x increased risk for type-2 diabetes
Rs7754840(C;C),3,Bad,1.3x increased risk for type-2 diabetes
Rs662799(A;G),2,Bad,1.4x higher early heart attack risk; less weight gain on high fat diets
Rs662799(G;G),2,Bad,2x higher early heart attack risk; less weight gain on high fat diets
Rs1801282(C;G),3,Bad,Unconfirmed higher risk of cardiovascular disease with high saturated fat diet
Rs55770810(C;C),0,Good,normal
Rs55770810(T;T),6,Bad,carrier of two copies of BRCA1 variant; likely to be at higher risk for breast/ovarian cancer
Rs28897696(C;C),0,Good,normal
Rs55770810(C;T),6,Bad,"Likely miscall in Ancestry data; otherwise, BRCA1 variant likely to be pathogenic for breast cancer"
Rs28897696(A;A),7,Bad,carrier of two copies of BRCA1 variant; likely to be at high risk for breast/ovarian cancer
Rs28897756(G;G),0,Good,normal
Rs28897756(A;A),6,Bad,"BRCA2, breast cancer mutation"
Rs2227589(G;G),0,,
Rs4148323(G;G),0,Good,normal
Rs17602729(A;A),3,Bad,AMPD1 deficiency homozygous (orientation reversed)
Rs17602729(A;G),2.8,Bad,AMPD1 deficiency heterozygous (orientation reversed)
Rs2070600(G;G),0,Good,normal
Rs2802288(A;A),2.4,Good,longer lifespan
Rs2802288(G;G),0,,normal
Rs28935474(C;T),2,,
Rs543749(G;G),2.1,Bad,"If a smoker, higher risk risk for COPD in smokers in a Hispanic population."
Rs2046210(C;C),0,Good,common in clinvar
Rs438034(C;C),0,,normal
Rs763110(C;C),0,Bad,normal
Rs763110(T;T),2,Good,~0.80x reduced cancer risk
Rs3213409(G;G),0,Good,common in complete genomics
Rs6544718(T;T),0,Good,common in clinvar
Rs16847548(C;C),2.5,Bad,2.6x increased risk for sudden cardiac death in Caucasians
Rs2740574(G;G),2,,2.5x increased risk for prostate or ovarian cancer; CYP3A4*1B homozygote
Rs2108622(C;C),2,,lower warfarin dosing
Rs2108622(T;T),2,,higher warfarin dosing
Rs1805128(G;G),0,Good,common in complete genomics
Rs3829241(G;G),0,Good,common in clinvar
Rs1426654(A;G),2.5,,mixed European + (African or Asian) ancestry possible
Rs6025(A;G),4.1,Bad,3.5-4.4x risk of thrombosis
Rs5491(A;A),0,Good,common in complete genomics
Rs1805123(A;A),0,Good,common in clinvar
Rs1858830(G;G),0,Good,normal
Rs12425791(G;G),0,Good,normal
Rs11833579(G;G),0,Good,normal
Rs8042919(G;G),0,Good,common on affy axiom data
Rs328(C;C),0,Good,common in clinvar
Rs11591147(G;G),0,Bad,normal
Rs11591147(T;T),4.5,Good,2-3 fold lower risk of heart disease
Rs5558(A;A),0,,
Rs4765623(T;T),0,,normal
Rs2231142(C;C),0,Good,normal
Rs5558(T;T),0,Good,normal
Rs13010627(G;G),0,Good,common in clinvar
Rs10485057(A;A),0,Good,normal
Rs10485057(G;G),3,,"increased risk for smoking, nicotine dependence"
Rs235756(C;C),0,,normal
Rs56337013(C;C),0,Good,normal
Rs56337013(T;T),3,,CYP2C19*5 homozygote
Rs1051730(T;T),2.5,Bad,"1.8x increased risk of lung cancer; reduced response to alcohol, therefore possibly increased risk of alcohol abuse"
Rs1051730(C;T),2,Bad,1.3x increased risk of lung cancer
Rs41291556(T;T),0,Good,normal
Rs17884712(G;G),0,Good,normal
Rs6413438(C;C),0,Good,normal
Rs17879685(C;C),0,Good,normal
Rs12248560(C;C),0,Good,normal
Rs3758581(G;G),0,Good,normal
Rs5787121(G;G),0,Good,normal
Rs17878459(G;G),0,Good,normal
Rs1045642(T;T),3,Bad,altered drug metabolism and bioavailability; moderately increased risk for certain cancers
Rs7771980(T;T),0,,normal
Rs7771980(C;C),1,,lower bone mineral density in postmenopausal Korean women
Rs7771980(C;T),1,,higher bone mineral density in postmenopausal Spanish women
Rs6997709(T;T),0,,normal
Rs6997709(G;G),2,Bad,1.5x higher risk for hypertension
Rs7961152(A;C),2,Bad,1.2x higher risk for hypertension
Rs2802292(G;G),2.5,Good,1.5x~2.7x more likely to live to 100.
Rs1154155(G;G),2.5,Bad,2.5x increased risk for narcolepsy
Rs1154155(G;T),1.5,Bad,1.94x increased risk for narcolepsy
Rs1154155(T;T),0,Good,normal
Rs12248560(C;T),2,,CYP2C19*17 ultra fast metabolizer; drug metabolism effects; also 0.77x decreased breast cancer risk
Rs12248560(T;T),2,,CYP2C19*17 ultra fast metabolizer; drug metabolism effects; also 0.77x decreased breast cancer risk
Rs1803274(G;G),0,Good,normal
Rs1265181(C;C),0,Good,normal
Rs1265181(C;G),2,Bad,increased risk for psoriasis
Rs1799807(A;G),3.5,Bad,"Heterozygous for ""atypical"" BuChE"
Rs776746(A;A),0,Good,reference allele
Rs28365083(C;C),0,Good,normal
Rs776746(G;G),2.5,Bad,CYP3A5*3 homozygote;  CYP3A5 non-expressor
Rs56411402(T;T),0,Good,normal
Rs10264272(C;C),0,Good,normal
Rs41303343(-;-),0,Good,normal
Rs55817950(G;G),0,Good,normal
Rs28383479(G;G),0,Good,normal
Rs41279854(A;A),0,Good,normal
Rs72552791(A;A),0,Good,normal
Rs56244447(A;A),0,Good,normal
Rs28365085(T;T),0,Good,normal
Rs45593941(T;T),0,Good,normal
Rs41279857(G;G),0,Good,normal
Rs28383468(C;C),0,Good,normal
Rs28365083(A;A),2.5,Bad,CYP3A5*2 homozygote; nonexpressor for CYP3A5
Rs56411402(C;C),2.5,Bad,CYP3A5*4 homozygote; nonexpressor for CYP3A5
Rs10264272(T;T),2.5,Bad,CYP3A5*6 homozygote; nonexpressor for CYP3A5
Rs41303343(T;T),2.5,Bad,"Miscall in 23andMe v4 data; otherwise, CYP3A5*7 homozygote; nonexpressor for CYP3A5"
Rs55817950(A;A),2.5,Bad,CYP3A5*8 homozygote; nonexpressor for CYP3A5
Rs28383479(A;A),2.5,Bad,CYP3A5*9 homozygote; nonexpressor for CYP3A5
Rs41279854(G;G),2.5,Bad,CYP3A5*10 homozygote; nonexpressor for CYP3A5
Rs72552791(G;G),2.5,Bad,CYP3A5*11 homozygote; nonexpressor for CYP3A5
Rs56244447(C;C),2.5,Bad,CYP3A5*3D homozygote; nonexpressor for CYP3A5
Rs28365085(C;C),2.5,Bad,CYP3A5*3F homozygote; nonexpressor for CYP3A5
Rs45593941(C;C),2.5,Bad,CYP3A5*3F homozygote; nonexpressor for CYP3A5
Rs41279857(T;T),2.5,Bad,CYP3A5*S100Y homozygote; nonexpressor for CYP3A5
Rs28383468(T;T),2.5,Bad,CYP3A5*H30Y homozygote; nonexpressor for CYP3A5
Rs28365083(A;C),2,,carrier of one CYP3A5*2 allele
Rs776746(A;G),2,,carrier of 1 nonfunctional CYP3A5 allele; drug metabolism affects
Rs10264272(C;T),0,,carrier of a silent polymorphism in CYP3A5
Rs41303343(-;T),2,,carrier of one CYP3A5*7 allele
Rs55817950(A;G),2,,carrier of one CYP3A5*8 allele
Rs28383479(A;G),2,,carrier of one CYP3A5*9 allele
Rs41279854(A;G),2,,carrier of one CYP3A5*10 allele
Rs72552791(A;G),2,,carrier of one CYP3A5*11 allele
Rs56244447(A;C),2,,carrier of one CYP3A5*3D allele
